Word,Count
the,438
=,332
*,268
|,204
||,196
to,187
cell,162
a,157
if,149
},146
,127
new,126
of,113
is,87
and,78
in,67
public,67
for,66
scan,64
from,57
int,57
return,56
be,56
it,55
+,55
i,48
starting,42
end,40
LOS,40
+---++---++---+,38
private,37
<,37
0;,37
{,36
x,35
player,35
0,34
String,33
octant,32
@,32
==,31
by,31
(int,31
that,30
@param,29
will,28
y,28
with,27
void,26
1,26
been,25
attack,24
blocking,24
Position,24
&&,24
block,24
applied,24
until,23
The,23
has,23
or,22
hit,21
-,21
\0,\,21
static,21
\"\\,20
sequence,20
i++){,20
method,20
cells,20
:,19
old,19
else,19
current,19
an,19
we,18
Effects,18
Place,18
|#####,18
after,18
#####|,18
2,17
apply,17
section,16
blocks,16
area,16
\[xCenter+0.5,yCenter+0.5]\,16
'brushes',16
covering,16
call,16
have,16
applyCell(),16
NO:,16
YES:,16
calculate,16
walls,16
than,16
\[xCheck,yCheck]\,16
started,16
FOV::start(),16
didn't,16
already,16
west,15
east,15
north,15
If,15
Pending,15
abstract,15
\around,\,15
out,14
!=,14
\"\);\,14
b,14
En,14
which,14
south,14
at,13
false;,13
si.cls();,13
|#####|,12
Auto-generated,12
TODO,12
stub,12
break;,12
>,12
refresh();,12
);,12
\aLevel.addMessage("\You\,11
message,11
Effect,11
audio,11
Attributes,11
more,11
MidisLoader,11
him,11
level,11
Run,11
keys,10
return;,10
mISSED,10
si.refresh();,10
Shows,10
targetMonster.damage(player.getWhipLevel());,10
8);,10
Cell,10
sequencer,10
since,9
they,9
position,9
need,9
given,9
first,9
object,9
\player,\,9
exit,9
Carve,9
console,9
left,9
<=,9
find,9
FOV::start,9
so,9
playing,9
on,9
start,9
color,9
data,9
Castle,9
play,9
may,8
last,8
\Position.add(center,\,8
/,8
\tiles.charAt(i),\,8
\Appearance.RED,\,8
color);,8
\"\SFX_MONSTER_ID_"\+aMonster.getID()\,8
\Debug.say("\Hi..\,8
line,8
MonsterMissile.java,8
case,8
right,8
helper,8
null),8
must,8
isn't,8
This,8
blocked,8
while,8
startSlope,8
Coupled,8
this,8
non-blocking,8
'new',8
\helper.y,\,8
\si.print(helper.x,\,8
doesn't,8
(prevBlocked==false),8
midi,8
ignores,8
Vector,8
file,8
octants,8
\Unsafe,\,8
reached,8
can,8
buffer,8
Unequip,8
drawEffect(new,8
previous,8
should,8
scans,8
3,8
ending,8
endSlope,8
bottom,8
try,8
maxRadius,8
top,8
String[],8
not,7
its,7
wisps,7
walk,7
A,7
#####+---++---+,7
Components,7
0);,7
Sets,7
>=,7
used,7
TODO:,7
Checks,7
+---++---+#####,7
\true,\,7
UserInterface.getUI().drawEffect(new,7
\si.print(inPosition.x,\,7
what,7
characters,7
MidiInfo,7
get,7
Level,7
Dispatcher());,7
when,7
final,7
\start,\,7
one,6
true;,6
are,6
Color,6
menuBox.draw();,6
ConsoleSystemInterface.RED);,6
Ruins,6
sightListItem;,6
magic,6
Try,6
Methods,6
pending,6
ListItem,6
stream,6
