
Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,486,52470,42420,28873,6548,7366,156,2684,10785,0,0
C:\Slash\Proyectos\CastlevaniaRL\src,486,52470,42420,28873,6548,7366,156,2684,10785,0,0
C:\Slash\Proyectos\CastlevaniaRL\src\crl,434,46592,38407,26172,5855,6510,106,1675,5674,0,0
C:\Slash\Proyectos\CastlevaniaRL\src\crl\action,136,10009,8345,6172,1810,1510,5,154,539,0,0
C:\Slash\Proyectos\CastlevaniaRL\src\crl\action\invoker,16,909,761,568,167,145,1,3,14,0,0
C:\Slash\Proyectos\CastlevaniaRL\src\crl\action\knight,1,42,33,24,8,9,0,0,0,0,0
C:\Slash\Proyectos\CastlevaniaRL\src\crl\action\manbeast,11,687,559,409,124,122,0,6,16,0,0
C:\Slash\Proyectos\CastlevaniaRL\src\crl\action\monster,17,951,825,641,154,102,0,24,101,0,0
C:\Slash\Proyectos\CastlevaniaRL\src\crl\action\monster\boss,10,392,339,270,45,48,0,5,22,0,0
C:\Slash\Proyectos\CastlevaniaRL\src\crl\action\npc,1,39,33,22,9,6,0,0,0,0,0
C:\Slash\Proyectos\CastlevaniaRL\src\crl\action\prelude,1,34,26,22,2,8,0,0,0,0,0
C:\Slash\Proyectos\CastlevaniaRL\src\crl\action\renegade,18,1173,935,673,222,227,0,11,65,0,0
C:\Slash\Proyectos\CastlevaniaRL\src\crl\action\vanquisher,17,898,716,536,149,182,0,0,0,0,0
C:\Slash\Proyectos\CastlevaniaRL\src\crl\action\vkiller,26,1961,1616,1201,326,315,0,30,77,0,0
C:\Slash\Proyectos\CastlevaniaRL\src\crl\action\weapon,7,659,581,437,124,66,0,12,28,0,0
C:\Slash\Proyectos\CastlevaniaRL\src\crl\actor,2,205,156,113,25,40,3,9,43,0,0
C:\Slash\Proyectos\CastlevaniaRL\src\crl\ai,18,1398,1170,892,268,170,0,58,344,0,0
C:\Slash\Proyectos\CastlevaniaRL\src\crl\ai\monster,13,1156,968,734,225,136,0,52,320,0,0
C:\Slash\Proyectos\CastlevaniaRL\src\crl\ai\monster\boss,5,437,376,288,83,48,0,13,59,0,0
C:\Slash\Proyectos\CastlevaniaRL\src\crl\ai\npc,2,124,111,86,27,12,0,1,8,0,0
C:\Slash\Proyectos\CastlevaniaRL\src\crl\ai\player,1,66,57,45,13,8,0,1,2,0,0
C:\Slash\Proyectos\CastlevaniaRL\src\crl\conf,7,2553,2199,934,47,253,42,101,298,0,0
C:\Slash\Proyectos\CastlevaniaRL\src\crl\conf\console,4,980,842,229,4,93,2,45,101,0,0
C:\Slash\Proyectos\CastlevaniaRL\src\crl\conf\console\data,3,980,842,229,4,93,2,45,101,0,0
C:\Slash\Proyectos\CastlevaniaRL\src\crl\conf\gfx,4,1573,1357,705,43,160,40,56,197,0,0
C:\Slash\Proyectos\CastlevaniaRL\src\crl\conf\gfx\data,3,1573,1357,705,43,160,40,56,197,0,0
C:\Slash\Proyectos\CastlevaniaRL\src\crl\cuts,25,658,551,466,35,99,0,8,12,0,0
C:\Slash\Proyectos\CastlevaniaRL\src\crl\cuts\arena,2,107,101,83,11,6,0,0,0,0,0
C:\Slash\Proyectos\CastlevaniaRL\src\crl\cuts\dracula,3,83,71,62,4,12,0,0,0,0,0
C:\Slash\Proyectos\CastlevaniaRL\src\crl\cuts\entrance,1,31,26,22,2,5,0,0,0,0,0
C:\Slash\Proyectos\CastlevaniaRL\src\crl\cuts\ingame,3,39,29,24,1,10,0,0,0,0,0
C:\Slash\Proyectos\CastlevaniaRL\src\crl\cuts\ingame\deathHall,2,39,29,24,1,10,0,0,0,0,0
C:\Slash\Proyectos\CastlevaniaRL\src\crl\cuts\intro,3,89,75,64,5,13,0,1,1,0,0
C:\Slash\Proyectos\CastlevaniaRL\src\crl\cuts\mummies,2,39,33,27,2,6,0,0,0,0,0
C:\Slash\Proyectos\CastlevaniaRL\src\crl\cuts\prelude,5,146,121,107,4,21,0,4,4,0,0
C:\Slash\Proyectos\CastlevaniaRL\src\crl\cuts\training,3,55,46,38,2,9,0,0,0,0,0
C:\Slash\Proyectos\CastlevaniaRL\src\crl\cuts\villa,1,33,27,22,3,5,0,1,1,0,0
C:\Slash\Proyectos\CastlevaniaRL\src\crl\data,6,823,671,449,33,115,2,37,80,0,0
C:\Slash\Proyectos\CastlevaniaRL\src\crl\deploy,2,82,69,54,8,11,0,2,8,0,0
C:\Slash\Proyectos\CastlevaniaRL\src\crl\feature,14,939,751,560,151,167,2,21,112,0,0
C:\Slash\Proyectos\CastlevaniaRL\src\crl\feature\action,3,186,147,112,32,34,0,5,20,0,0
C:\Slash\Proyectos\CastlevaniaRL\src\crl\feature\ai,4,166,139,112,27,25,0,2,14,0,0
C:\Slash\Proyectos\CastlevaniaRL\src\crl\game,8,1998,1719,1363,171,197,10,82,242,0,0
C:\Slash\Proyectos\CastlevaniaRL\src\crl\item,8,1386,1112,760,239,206,2,68,184,0,0
C:\Slash\Proyectos\CastlevaniaRL\src\crl\item\weapon,1,6,3,2,0,3,0,0,0,0,0
C:\Slash\Proyectos\CastlevaniaRL\src\crl\level,12,1648,1280,904,270,280,3,88,306,0,0
C:\Slash\Proyectos\CastlevaniaRL\src\crl\levelgen,49,7422,6350,3382,406,792,5,280,1016,0,0
C:\Slash\Proyectos\CastlevaniaRL\src\crl\levelgen\cave,6,821,640,483,61,108,0,73,336,0,0
C:\Slash\Proyectos\CastlevaniaRL\src\crl\levelgen\patterns,29,4307,3828,1361,130,471,4,8,53,0,0
C:\Slash\Proyectos\CastlevaniaRL\src\crl\monster,4,963,751,529,188,159,4,53,161,0,0
C:\Slash\Proyectos\CastlevaniaRL\src\crl\npc,4,355,279,203,45,73,0,3,35,0,0
C:\Slash\Proyectos\CastlevaniaRL\src\crl\player,84,5908,4689,3134,955,1107,5,112,296,0,0
C:\Slash\Proyectos\CastlevaniaRL\src\crl\player\advancements,76,2574,1923,1346,331,651,0,0,0,0,0
C:\Slash\Proyectos\CastlevaniaRL\src\crl\player\advancements\invoker,15,515,374,262,62,141,0,0,0,0,0
C:\Slash\Proyectos\CastlevaniaRL\src\crl\player\advancements\manbeast,11,401,282,199,57,119,0,0,0,0,0
C:\Slash\Proyectos\CastlevaniaRL\src\crl\player\advancements\renegade,13,434,323,228,54,111,0,0,0,0,0
C:\Slash\Proyectos\CastlevaniaRL\src\crl\player\advancements\stats,9,371,297,198,54,74,0,0,0,0,0
C:\Slash\Proyectos\CastlevaniaRL\src\crl\player\advancements\vanquisher,9,279,216,154,36,63,0,0,0,0,0
C:\Slash\Proyectos\CastlevaniaRL\src\crl\player\advancements\vkiller,16,541,407,284,67,134,0,0,0,0,0
C:\Slash\Proyectos\CastlevaniaRL\src\crl\ui,62,9661,7806,5880,1157,1270,21,585,1966,0,0
C:\Slash\Proyectos\CastlevaniaRL\src\crl\ui\consoleUI,21,3239,2678,2093,434,383,9,178,582,0,0
C:\Slash\Proyectos\CastlevaniaRL\src\crl\ui\consoleUI\cuts,1,27,19,14,3,8,0,0,0,0,0
C:\Slash\Proyectos\CastlevaniaRL\src\crl\ui\consoleUI\effects,14,723,561,440,75,126,0,36,110,0,0
C:\Slash\Proyectos\CastlevaniaRL\src\crl\ui\effects,3,105,68,51,5,26,0,11,97,0,0
C:\Slash\Proyectos\CastlevaniaRL\src\crl\ui\graphicsUI,30,5766,4681,3465,683,755,9,330,996,0,0
C:\Slash\Proyectos\CastlevaniaRL\src\crl\ui\graphicsUI\components,4,221,167,136,7,50,0,4,9,0,0
C:\Slash\Proyectos\CastlevaniaRL\src\crl\ui\graphicsUI\effects,15,819,650,506,99,129,0,40,126,0,0
C:\Slash\Proyectos\CastlevaniaRL\src\sz,53,5878,4013,2701,693,856,50,1009,5111,0,0
C:\Slash\Proyectos\CastlevaniaRL\src\sz\ca,4,256,201,126,34,37,0,18,123,0,0
C:\Slash\Proyectos\CastlevaniaRL\src\sz\crypt,1,84,62,49,3,13,0,9,65,0,0
C:\Slash\Proyectos\CastlevaniaRL\src\sz\csi,18,2118,1608,1050,296,314,7,196,849,0,0
C:\Slash\Proyectos\CastlevaniaRL\src\sz\csi\jcurses,1,299,247,181,55,38,0,14,52,0,0
C:\Slash\Proyectos\CastlevaniaRL\src\sz\csi\textcomponents,9,636,501,351,83,112,0,23,95,0,0
C:\Slash\Proyectos\CastlevaniaRL\src\sz\csi\wswing,4,745,566,406,131,119,7,60,276,0,0
C:\Slash\Proyectos\CastlevaniaRL\src\sz\fov,2,1105,491,273,109,103,0,511,2633,0,0
C:\Slash\Proyectos\CastlevaniaRL\src\sz\gadgets,5,488,377,257,77,85,0,26,98,0,0
C:\Slash\Proyectos\CastlevaniaRL\src\sz\midi,5,608,406,288,43,113,37,89,686,0,0
C:\Slash\Proyectos\CastlevaniaRL\src\sz\mp3,1,94,84,68,9,10,1,0,3,0,0
C:\Slash\Proyectos\CastlevaniaRL\src\sz\util,14,890,619,460,111,148,0,123,378,0,0
C:\Slash\Proyectos\CastlevaniaRL\src\sz\wav,1,54,46,38,2,8,0,0,0,0,0
C:\Slash\Proyectos\CastlevaniaRL\src\sz\webtools,1,48,41,33,4,7,0,0,0,0,0
